callsign,icao,name,prefix,fir
EDMM-G,EDMM-G,Muenchen ACC (Gera) - Muenchen,EDMM_G,EDMM-G
EDMM_M,EDMM-G,Muenchen ACC (Gera) - Muenchen,EDMM_M,EDMM-G
EDWW_B,EDWW-B,Bremen ACC (Boerde) - Bremen,EDWW_B,EDWW-B
EDWW,EDWW,Bremen,,EDWW
EDWW_F,EDWW-B,Bremen ACC (Boerde) - Bremen,EDWW_F,EDWW-B
EDWW-B,EDWW-B,Bremen ACC (Boerde) - Bremen,EDWW_F,EDWW-B
EDWW_K,EDWW-B,Bremen ACC (Boerde) - Bremen,EDWW_K,EDWW-B
EDWW_M,EDWW-B,Bremen ACC (Boerde) - Bremen,EDWW_M,EDWW-B
EDWW_A,EDWW-A,Bremen ACC (Aller) - Bremen,EDWW_A,EDWW-A
EDWW-A,EDWW-A,Bremen ACC (Aller) - Bremen,EDWW_A,EDWW-A
EDWW_H,EDWW-A,Bremen ACC (Aller) - Bremen,EDWW_H,EDWW-A
EDWW_D,EDWW-A,Bremen ACC (Aller) - Bremen,EDWW_D,EDWW-A
EDWW_R,EDWW-A,Bremen ACC (Aller) - Bremen,EDWW_R,EDWW-A
EDWW_S,EDWW-A,Bremen ACC (Aller) - Bremen,EDWW_S,EDWW-A
EDWW_E,EDWW-A,Bremen ACC (Aller) - Bremen,EDWW_E,EDWW-A
EDWW_W,EDWW-A,Bremen ACC (Aller) - Bremen,EDWW_W,EDWW-A
EDXX_FIS,EDXX,Langen Information - FIS only,EDXX_FIS,EDXX
EDXX,EDXX,Langen Information - FIS only,EDXX_FIS,EDXX
EETT,EETT,Tallinn,,EETT
EFIN,EFIN,Helsinki,,EFIN
EGGX,EGGX,Shanwick Oceanic,EGGX,EGGX
SCO,EGPX,Scottish,SCO,EGPX
EGPX,EGPX,Scottish,SCO,EGPX
SCO_D,EGPX-D,Scottish ACC (Dean Cross) - Scottish,SCO_D,EGPX-D
EGPX-D,EGPX-D,Scottish ACC (Dean Cross) - Scottish,SCO_D,EGPX-D
STC,EGPX-D,Scottish TMA (Up to FL255) - Scottish,STC,EGPX-D
STC_W,EGPX-D,Scottish TMA (Up to FL255) - Scottish,STC_W,EGPX-D
STC_E,EGPX-D,Scottish TMA (Up to FL255) - Scottish,STC_E,EGPX-D
SCO_E,EGPX-E,Scottish ACC (East) - Scottish,SCO_E,EGPX-E
EGPX-E,EGPX-E,Scottish ACC (East) - Scottish,SCO_E,EGPX-E
SCO_N,EGPX-E,Scottish ACC (East) - Scottish,SCO_N,EGPX-E
SCO_S,EGPX-E,Scottish ACC (East) - Scottish,SCO_S,EGPX-E
SCO_WD,EGPX-WD,Scottish ACC (West/Dean Cross) - Scottish,SCO_WD,EGPX-WD
EGPX-WD,EGPX-WD,Scottish ACC (West/Dean Cross) - Scottish,SCO_WD,EGPX-WD
SCO_W,EGPX-W,Scottish ACC (West) - Scottish,SCO_W,EGPX-W
EGPX-W,EGPX-W,Scottish ACC (West) - Scottish,SCO_W,EGPX-W
SCO_R,EGPX-R,Scottish ACC (Rathlin) - Scottish,SCO_R,EGPX-R
EGPX-R,EGPX-R,Scottish ACC (Rathlin) - Scottish,SCO_R,EGPX-R
STC_A,EGPX-R,Scottish TMA (Antrim) - Scottish,STC_A,EGPX-R
LTC,EGTL,London TMA (Up to FL195),LTC,EGTL
EGTL,EGTL,London TMA (Up to FL195),LTC,EGTL
MAN,EGTM,Manchester TMA (Up to FL285),MAN,EGTM
EGTM,EGTM,Manchester TMA (Up to FL285),MAN,EGTM
LON,EGTT,London,LON,EGTT
EGTT,EGTT,London,LON,EGTT
LON_C,EGTT-C,London ACC (Central) - London,LON_C,EGTT-C
EGTT-C,EGTT-C,London ACC (Central) - London,LON_C,EGTT-C
LON_E,EGTT-C,London ACC (Central) - London,LON_E,EGTT-C
LTC_N,EGTT-C,London ACC (Central) - London,LTC_N,EGTT-C
LTC_NW,EGTT-C,London ACC (Central) - London,LTC_NW,EGTT-C
LON_N,EGTT-N,London ACC (North) - London,LON_N,EGTT-N
EGTT-N,EGTT-N,London ACC (North) - London,LON_N,EGTT-N
LON_S,EGTT-S,London ACC (South) - London,LON_S,EGTT-S
EGTT-S,EGTT-S,London ACC (South) - London,LON_S,EGTT-S
LON_D,EGTT-S,London ACC (South) - London,LON_D,EGTT-S
LTC_S,EGTT-S,London ACC (South) - London,LTC_S,EGTT-S
LTC_SE,EGTT-S,London ACC (South) - London,LTC_SE,EGTT-S
LTC_SW,EGTT-S,London ACC (South) - London,LTC_SW,EGTT-S
LON_SC,EGTT-SC,London ACC (South-Central) - London,LON_SC,EGTT-SC
EGTT-SC,EGTT-SC,London ACC (South-Central) - London,LON_SC,EGTT-SC
LON_W,EGTT-W,London ACC (West) - London,LON_W,EGTT-W
EGTT-W,EGTT-W,London ACC (West) - London,LON_W,EGTT-W
SWAN,EGVV,Swanwick Military,SWAN,EGVV
EGVV,EGVV,Swanwick Military,SWAN,EGVV
ISLAND,EGYP,Mount Pleasant (Monte Agradable),ISLAND,EGYP
